Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/25/2015,18:00,4/25/2015,18:50,50 minutes,"Portage Auditorium","Tech","Using RegEx in grep","Mat Enders","This presentation will cover the regex available to you with the -E flag in grep. Prerequisite – have used grep to search files.",FALSE,PUBLIC,"Projector"
4/26/2015,10:00,4/26/2015,11:50,1 hour and 50 minutes,"Portage Auditorium","Film","Zombie Orpheus Presents: The Gamers: Natural One, Humans & Households and , Dark Dungeons","","Zombie Orpheus are a fan supported and creator distributed new media company with a focus on the kind of shows that could never get made in Hollywood—awesome- nerdy entertainment that you have the power to renew! Come check out three of their films: 1. The Gamers: Natural One (30 min) Natural One begins with a summons to Gary from his Canadian half-sister- Monica. She's getting married and family tradition calls for her future partner to be vetted in-game-is he gamer enough to be worthy of the family name? 2. Humans & Households (30 min) Humans & Households follows a group of fantasy heroes on their day off as they sit down to enjoy a rousing role-playing game set in a mundane world of traffic lights- errant puppies- indoor plumbing- and other diabolical evils. 3. Dark Dungeons (40 min) Two college students are seduced into the evil cult of role playing games.",FALSE,PUBLIC,"Projector, Sound System"
4/25/2015,20:00,4/25/2015,23:50,3 hours and 50 minutes,"Portage Auditorium","Film, After Dark","The Smithee Awards","Jeannette Quirk, Matthew Quirk, Amy Conlon, Kevin Hogan","The Smithee Awards watches Bad Movies all year long- then clips the best bad bits from the films and pits them together cage match style to go head to head (to head to head to head) with each other. 19 typical B-Cinema categories (Worst Science!- Stupidest Looking Monster!- Acting Appropriately Stupid! And many more!)- 5 clips per category. Come for the whole show (Most Ludicrous Premise through Worst Picture) or come for a couple categories. Either way- if you even like bad films a little- we think you'll enjoy The Smithee Awards more. The Smithee Awards are not particularly child safe as some of the clips contain nudity- violence or strong language- often all in the same clip.",FALSE,PUBLIC,"Microphone, Projector, Sound System"
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Portage Auditorium","Film","Genre Silent Movies","Keith Moore","The science fiction and horror form of movie goes all the way back to the initial days of cinema. Many people know about the big names like Nosferatu and Metropolis- but there are many more movies of significant interest and profound cultural importance to the geek community. This session will explore the common and easily (re)discovered movies from the silent era. Some excerpts (or a whole movie or two) will be shown. ",FALSE,PUBLIC,"none"
4/26/2015,13:00,4/26/2015,14:50,1 hour and 50 minutes,"Portage Auditorium","Film","Dr. Horrible Once More has Feelings","Shannon Marshall, Maggie Maiville","It's a back-to-back sing-a-long for the Whedonverse at Penguicon. Come- sit a spell- and sing along to two of your favorite 45 minute shows.",FALSE,PUBLIC,"Projector, Sound System"
4/26/2015,15:00,4/26/2015,16:50,1 hour and 50 minutes,"Portage Auditorium","Film","Mystery Spatula Theater","","Mystery Spatula Theater 11- or MST11 for short- is our own fan version of the popular television show Mystery Science Theater 3000. Although more fromage than homage- the MST11 crew still have fun doing what the 'big boys' do- this time with the 'Fantastic Four'!",FALSE,PUBLIC,"Projector, Sound System"
4/26/2015,9:00,4/26/2015,9:50,50 minutes,"Portage Auditorium","Life, Webcomics, Film","The Trials and Tribulations of the Artist's Lifestyle","Gabrielle Nettles, BluRaven Houvener","Join BluRaven C. Houvener (writer and illustrator of the Webcomic It's Just Another Day) and Gabrielle Nettles (Founder of Bad Catholic Films LLC) for another year of laugh out loud mayhem as they regale you with tales of success and failure that they've faced reaching towards fame and fortune. Comments and questions are encouraged!",FALSE,PUBLIC,"Projector, Sound System"
4/26/2015,10:00,4/26/2015,11:50,1 hour and 50 minutes,"Portage Auditorium","Film","Zombie Orpheus Presents: The Gamers: Natural One, Humans & Households and , Dark Dungeons","","Zombie Orpheus are a fan supported and creator distributed new media company with a focus on the kind of shows that could never get made in Hollywood—awesome- nerdy entertainment that you have the power to renew! Come check out three of their films: 1. The Gamers: Natural One (30 min) Natural One begins with a summons to Gary from his Canadian half-sister- Monica. She's getting married and family tradition calls for her future partner to be vetted in-game-is he gamer enough to be worthy of the family name? 2. Humans & Households (30 min) Humans & Households follows a group of fantasy heroes on their day off as they sit down to enjoy a rousing role-playing game set in a mundane world of traffic lights- errant puppies- indoor plumbing- and other diabolical evils. 3. Dark Dungeons (40 min) Two college students are seduced into the evil cult of role playing games.",FALSE,PUBLIC,"Projector, Sound System"
4/26/2015,12:00,4/26/2015,12:50,50 minutes,"Portage Auditorium","Film","Genre Silent Movies","Keith Moore","The science fiction and horror form of movie goes all the way back to the initial days of cinema. Many people know about the big names like Nosferatu and Metropolis- but there are many more movies of significant interest and profound cultural importance to the geek community. This session will explore the common and easily (re)discovered movies from the silent era. Some excerpts (or a whole movie or two) will be shown. ",FALSE,PUBLIC,"none"
4/26/2015,13:00,4/26/2015,14:50,1 hour and 50 minutes,"Portage Auditorium","Film","Dr. Horrible Once More has Feelings","Shannon Marshall, Maggie Maiville","It's a back-to-back sing-a-long for the Whedonverse at Penguicon. Come- sit a spell- and sing along to two of your favorite 45 minute shows.",FALSE,PUBLIC,"Projector, Sound System"
4/26/2015,15:00,4/26/2015,16:50,1 hour and 50 minutes,"Portage Auditorium","Film","Mystery Spatula Theater","","Mystery Spatula Theater 11- or MST11 for short- is our own fan version of the popular television show Mystery Science Theater 3000. Although more fromage than homage- the MST11 crew still have fun doing what the 'big boys' do- this time with the 'Fantastic Four'!",FALSE,PUBLIC,"Projector, Sound System"
