Start Date,Start Time,End Date,End Time,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2014,11:00,5/3/2014,11:50,"Baldwin Board Room",Lit,"Digging Up The Same Old Ground","Sean M. Davis, Ferrett Steinmetz, NIcole Castle",'Are there any new stories left- or is everything just a retread of an old idea?  What is a retread- and what is a legitimately new angle?',FALSE,PUBLIC,none
5/3/2014,19:00,5/3/2014,19:50,"Board of Governors",Lit,"Apocalypse When?","Ferrett Steinmetz, NIcole Castle",'Zombies- mutant viruses- alien invaders- kaiju- or the environment- the end of the world is a mainstay of science fiction.  What type of apocalypse do we enjoy exploring?  Come here for all of your dystopian needs.',FALSE,PUBLIC,none
