Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Using RegEx in grep",4/25/2015,18:00,4/25/2015,18:50,FALSE,"
This presentation will cover the regex available to you with the -E flag in grep. Prerequisite – have used grep to search files.  Speakers include:Mat Enders - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Portage Auditorium",PUBLIC
"LIVE PODCAST: Sunday Morning Linux Review",4/26/2015,8:00,4/26/2015,9:50,FALSE,"Tony, Mat, and Mary record an episode of their popular Linux podcast, the Sunday Morning Linux Review  Speakers include:Tony Bemus, Mary Tomich, Mat Enders - Track: Tech  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
