Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Beginner's Guide to Metalworking",4/25/2015,11:00,4/25/2015,11:50,FALSE,"Learn metalworking, welding theory and safety presented by two knowledgeable individuals whose combined experience totals 10+ years. Also, learn about why welding and blacksmithing is a useful tool to learn, and what you can do with different metals.  Speakers include:Kent Newland, Derek Newland - Track: DIY  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Engineer's Guide to Self Defense",4/25/2015,8:00,4/25/2015,9:50,FALSE,"Come learn some skills for self defense! We'll begin with a lesson, then those who wish to can jump right in to try out what they've learned!  Speakers include:Derek Newland - Track: Life  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Whose Geek Are You Anyway",4/25/2015,22:00,4/25/2015,22:50,FALSE,"Join a group for a fun, Whose Line Is It Anyway style panel, with a geeky twist! From Superman and Lex Luthor on Jerry Springer to super-villains in anger management, there's enough fun for everyone, and once the laughs start rolling they don't stop!  Speakers include:Derek Newland - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
