Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Make Your Own Pillowcase","5/4/2019","09:00","5/4/2019","10:00","FALSE","Join me in sewing your very own pillowcase. Learn how to use a sewing machine while making something useful!  Speakers include:Kim Ulrich - Track: DIY  - Duration: 1 hour ","EMC I",PUBLIC
"Coloring Book Hand Embroidery","5/5/2019","14:00","5/5/2019","15:00","FALSE","Learn how to take your favorite coloring book page and turn it into a beautiful piece of hand embroidery. Some prior knowledge of embroidery is helpful, but not required.  Speakers include:Kim Ulrich - Track: DIY  - Duration: 1 hour ","EMC III",PUBLIC
