Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Fun with High-Voltage Toys",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Learn how arcane objects like dekatrons, vacuum tubes, and nixies can make fun toys!  Speakers include:Keith Moore - Track: Tech  - Duration: 50 minutes - Audio/video needs: none ","Baldwin Board Room",PUBLIC
"Silent Era Movies",5/3/2014,16:00,5/3/2014,17:50,FALSE,"The science fiction and horror form of movie goes all the way back to the initial days of cinema. Many people know about the big names like Nosferatu and Metropolis, but there are many more movies of significant interest and profound cultural importance to the geek community. This session will explore the common and easily (re)discovered movies from the silent era. Some excerpts (or a whole movie or two) will be shown.   Speakers include:Keith Moore - Track: Film  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
