Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"LGBT Alphabet Soup",4/25/2015,13:00,4/25/2015,13:50,FALSE,"The words we use to describe ourselves are an important part of our identiy. This panel will examine the many different terms used within the LGBT Community and what they mean.   Speakers include:Mari Brighe, Cassy Sinke, April Nance, Mark Oshiro - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"LGBT in Fandom",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Join us for a group discussion on LGBT/Queer Culture within fandom. With a moderator guiding the discussion, we will share and discuss our experiences of being gender and/or sexual minorities within various fandoms. Let us talk about the challenges we have faced, the successes we have seen, and the opportunities there are for improving inclusivity and diversity within fandom. Those who attended the panel last year will want to join us again! As with any place at Penguicon, bigotry and harassment will not be tolerated.  Speakers include:Mari Brighe, Cassy Sinke, April Nance, Mark Oshiro - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Misconceptions of Scienctific Work",4/26/2015,15:00,4/26/2015,15:50,FALSE,"Mathematicians are crazy loners that slave in front of chalkboards every second of every day in a singular pursuit of the next great theorem. Chemists pace their labs full of brightly colored chemicals and glass tubing that could have only been designed by Rube Goldberg trying to get their reactions correct. This panel will visit some of the most incorrect misconceptions in modern culture, and the most interesting, and try to set the record straight as to what our scientists are actually doing all day.  Speakers include:Samuel Hansen, Mari Brighe - Track: Science, Life  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
