Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"My Little Pony: Friendship Is Magic",4/29/2016,20:00,4/29/2016,20:50,FALSE,"Friendship is magic, so come talk with other fans about the MLP show and fandom!  Speakers include:Christina June, Galen Nelson - Track: Anime  - Duration: 50 minutes - Audio/video needs: none ","EMC V",PUBLIC
"Influence of Anime in Media",5/1/2016,14:00,5/1/2016,14:50,FALSE,"Fans of anime and manga know it's influenced our lives, but what about the other kinds of media we consume? Television, music, and games draw more and more inspiration from anime every day, and not always in obvious ways.  Speakers include:Christina June, Galen Nelson - Track: Anime  - Duration: 50 minutes - Audio/video needs: none ","EMC II",PUBLIC
