Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"LN2 Volunteer Training",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Cocktails in bars can be overly sweet, insipid, and not very interesting. But a well-made classic cocktail is a revelation. Learn about craft cocktails, including how to mix your own drinks at home and how to order a drink you’ll really like in a bar. 21+ only  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton - Track:   - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Fantasy and Science Fiction Ice Cream",4/24/2015,20:00,4/24/2015,21:50,FALSE,"Liquid nitrogen 'ice cream' featuring flavors found in your favorite Fantasy and Science Fiction Universes: Butterbeer, Pangalactic Gargleblaster, and Sonic Screwdriver. These flavors all include alcohol - 21+ only.  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Inclusive Ice Cream",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Liquid nitrogen 'ice cream' made with dairy and/or sugar alternatives (soda slushies, soy milk, coconut milk, agave nectar, stevia). Alternative ingredients also available at other LN2 sessions, just ask!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"Designing Industrial Control Systems to Resist Cyberattack",4/25/2015,10:00,4/25/2015,10:50,FALSE,"Industrial Control Systems are late arrivals to the 'Internet Age,' and many of the connectivity options which are available for Programmable Logic Controllers (PLCs) were not designed with network security in mind.  Vendors can take years to fix known vulnerabilities, or in some cases just seem to ignore them outright.  The internet has brought once remote, disconnected devices within reach of 'bad actors' everywhere - network-based attacks on controls systems are on the increase. Fortunately, spending time in the design phase can overcome a majority of these problems at minimal expense, protecting your system through its architecture.  This class will discuss the design of PLC systems and the network communications options which are available today, and how to select components to minimize external attack surface.  Speakers include:Phil Salkie - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"LN2 Improvisational Ice Cream",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Liquid nitrogen 'ice cream' made with flavors we have on hand! Feeling creative? Speak up and we'll see what we can do!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"LN2 Sunday Brunch Ice Cream",4/26/2015,10:00,4/26/2015,11:50,FALSE,"Ice cream made with liquid nitrogen, for a Sunday brunch! Flavors will include egg custard, orange, coffee, and cheesecake with a variety of toppings. Alternative ingredients available; we can make some non-dairy or sugar-free!  Speakers include:Sarah Elkins, Phil Salkie, Ariel Landrau, Jen Hamilton - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","ConSuite",PUBLIC
"Notes from "DHS Industrial Control Systems Cybersecurity 301"",4/26/2015,9:00,4/26/2015,9:50,FALSE,"The Department of Homeland Security offers a free, week-long training class in protecting and securing industrial control systems form cyber attacks.  The classes are held monthly at a DHS facility in Idaho Falls and consist of classroom time and a ten-hour red-team/blue-team attack/defense scenario.  The presenters attended the course in February 2015 - now they would like to share their notes and impressions with Penguicon.  If you are involved with industrial automation in any way, this session will let you know what the training class provides, and help you decide whether a trip to Idaho Falls should be in your future. For what it's worth, both presenters were on the winning team - Go, Defense!
  Speakers include:Phil Salkie, Susan Sons - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
