Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"OpenBSD Tour",4/26/2015,13:00,4/26/2015,13:50,FALSE,"OpenBSD is an open source operating system that emphasizes security and reliability. Come take a tour!  Speakers include:Steve Andre', Marcus Watts - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"OpenBSD Tour",4/26/2015,13:00,4/26/2015,13:50,FALSE,"OpenBSD is an open source operating system that emphasizes security and reliability. Come take a tour!  Speakers include:Steve Andre', Marcus Watts - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
