Start Date,Start Time,End Date,End Time,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
5/3/2014,19:00,5/3/2014,19:50,"Food Track (Room 1017)",Food,"Stupendous Jello Shots","Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin",'Explore the dark secrets of making the BEST jello shots of all time. We'll share some with you to prove it!. Already know all there is about jello shots? Let's go with 'pfffft!' and come anyway. 21 and over- please.',FALSE,PUBLIC,none
5/3/2014,20:00,5/3/2014,20:50,"Food Track (Room 1017)",Food,"The Pudding Shot Technique","Caitlynn Poirier, Heather Gutterman, Taylor Watkins, Mary Poirier, Douglas Tobin",'Fluffy- creamy- boozey- delicious-y... We have some lovely recipes to share. Live demo- including proper eating techniques. 21 and over- please. There will be samples.',FALSE,PUBLIC,none
5/4/2014,10:00,5/4/2014,10:50,"Food Track (Room 1017)",Food,"Cheese Tastings and Pairings","Heather Gutterman, Caitlynn Poirier, Taylor Watkins, Mary Poirier, Douglas Tobin",'Explore the amazing depth of field the cheese world has to offer. Bring eager tastebuds to fully experience the breadth of pairing cheese with other foods.',FALSE,PUBLIC,none
