Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Flirting for Geeks",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts.  Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Greg Williams, Dawn Kuczwara, Nuri Gocay, Bob Waltenspiel, Dave Phillips - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"So You Want to be a Manager",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Ah, the glamorous life of a manager! Or is it? Come hear a few voices 'from the trenches' talk about what it's really like to lead a team, what the job actually entails and some of the horrible - and horribly funny - stories of uncomfortable and embarrassing tasks we as managers have had to complete.  Speakers include:Nuri Gocay, Jer Lance, Dawn Kuczwara, Dave Phillips - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"The 10 Commandments of Networking",4/25/2015,15:00,4/25/2015,15:50,FALSE,"Networking is a powerful tool to meet new people, find better careers, sales leads, or even convince folks to hawk your needs to have 3D printers brought to your event on their wildly famous podcast.  *wink* What are the basics to networking?  What mistakes could lead to people actively networking away from you?  Commandment #11?  THOU SHALT COME TO THIS PANEL!  Speakers include:Dave Phillips, Bob Waltenspiel - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"The 10 Commandments of Networking",4/25/2015,15:00,4/25/2015,15:50,FALSE,"Networking is a powerful tool to meet new people, find better careers, sales leads, or even convince folks to hawk your needs to have 3D printers brought to your event on their wildly famous podcast.  *wink* What are the basics to networking?  What mistakes could lead to people actively networking away from you?  Commandment #11?  THOU SHALT COME TO THIS PANEL!  Speakers include:Dave Phillips, Bob Waltenspiel - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"Flirting for Geeks",4/25/2015,20:00,4/25/2015,20:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts.  Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Greg Williams, Dawn Kuczwara, Nuri Gocay, Bob Waltenspiel, Dave Phillips - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"LIVE PODCAST: IT in the D",4/25/2015,22:00,4/25/2015,23:50,FALSE,"What do a bunch of IT guys talk about at the bar?  Come find out why they have over 200,000 listens each week and witness the fun, the awesome, the epic amount of beer that is consumed by IT in the D!  Speakers include:Dave Phillips, Bob Waltenspiel - Track: Tech  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
