Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Introduction to Kanban Boards",4/25/2015,10:00,4/25/2015,10:50,FALSE,"A lean, visual, Just-In-Time software scheduling system. Visual scheduling system, which uses pre-defined units of work as input and displays them in various states of completeness.  Speakers include:Mark Haynes, Douglas Johnson - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"Creative Destruction",4/25/2015,15:00,4/25/2015,15:50,FALSE,"Is the nature of creativity really a destructive force? Progress is not necessarily a linear, geometric progression but rather destructive stimulus often precede creativity and explosive growth. We will discuss what this means from several perspectives, including economic theory, cosmology, ecology and technology.  Speakers include:Mark Haynes, Kevin O'Brien, Ethan Dicks, Samuel Hansen - Track: Science, Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"Tzolkin",4/25/2015,18:00,4/25/2015,21:50,FALSE,"The Mayan Calendar presents a new game mechanism: dynamic worker placement. Players representing different Mayan tribes place their workers on giant connected gears, and as the gears rotate they take the workers to different action spots.  Speakers include:Mark Haynes - Track: Gaming  - Duration: 3 hours and 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"Village",4/26/2015,9:00,4/26/2015,12:50,FALSE,"Each player will take the reins of a family and have them find fame and glory in many different ways. There is one thing you must not forget, however: Time will not stop for anyone and with time people will vanish. Those who will find themselves immortalized in the village chronicles will bring honor to their family and be one step closer to victory.  Speakers include:Mark Haynes - Track: Gaming  - Duration: 3 hours and 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"How to Get (and Keep) a Tech Job",4/26/2015,14:00,4/26/2015,14:50,FALSE,"
To get a professional job, you must be adept at phone and Skype screening interviews. Once you get a job, you might be expected to program for 3 browsers plus Android and IOS devices, flawlessly. Or as a tester, you'll want to know mobile testing tools plus the Agile environment. We'll talk about all this, and more!  Speakers include:Mark Haynes, Douglas Johnson - Track: Tech, Life  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
