Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"PenguiPasta With Some Sauce Bosses",4/25/2015,11:00,4/25/2015,12:50,FALSE,"Fresh pasta, tomato and alfredo sauce, all made from scratch. Simple ingredients, easy to do, etc etc etc.  Speakers include:Andy Amsdill, Alyssa Trimmer, Matt Steiner, Kattni Rembor - Track: Food  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Food  THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE [Room 517]",PUBLIC
"You'll Roux The Day!",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Many dishes in traditional French cuisine start with a roux- learn how to build this base and see some of the fantastic directions it can go. Things like gumbo and French onion soup!  Speakers include:Alyssa Trimmer, Matt Steiner, Michael McAtee - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food  THERE IS AN END LINE IN THIS VENUE FIELD IN THE SPEADSHEET HERE [Room 517]",PUBLIC
"Intro to Urban Farming",4/26/2015,11:00,4/26/2015,11:50,FALSE,"Curious about urban farming? Some experienced urban farmers from the region talk about the challenges and benefits, concerns and rewards, and ways to live more sustainably within the city limits.  Speakers include:Alyssa Trimmer, Matt Steiner, Mike Horst - Track: Eco  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
