Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Harrowing Tales in Metallurgy",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Christmas Interruptus? Narcs on a bus? (Nope! They are engineers) Professor Ron relates more great tales from his career, followed by Q&A.   Speakers include:Ron Demerino - Track: Science  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"Adventures in Metallurgy",5/3/2014,9:00,5/3/2014,9:50,FALSE,"What does the CIA have in common with dinosaur extinction? They have a great metallurgical story behind them! Come hear some great stories from Professor Ron, followed by Q&A.  Speakers include:Ron Demerino - Track: Science  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"Metallurgy Wrapup",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Professor Ron tells some of the favorite stories of metallurgy and teaching, including the tale of the 'trouser anaconda.' Q&A to follow.  Speakers include:Ron Demerino - Track: Science  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix A",PUBLIC
