Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"How to Improve Your Con Experience as an Introvert",4/24/2015,16:00,4/24/2015,16:50,FALSE,"Being introverted can make conventions stressful, no matter how awesome the people around you are. Find out what you can do to have a great con experience without wanting to crawl into a hole -- and while you're here, learn the differences between introverts, extroverts and ambiverts; why introverts rock; and (for extroverts) how to interact better with your introverted friends. Will include humor, handouts, research, and RIBBONS!  Speakers include:Alexa Albright-Kelley, Carol Thomas - Track: Life  - Duration: 50 minutes - Audio/video needs: Projector ","Nicolet",PUBLIC
"How to Improve Your Con Experience as an Introvert",4/24/2015,16:00,4/24/2015,16:50,FALSE,"Being introverted can make conventions stressful, no matter how awesome the people around you are. Find out what you can do to have a great con experience without wanting to crawl into a hole -- and while you're here, learn the differences between introverts, extroverts and ambiverts; why introverts rock; and (for extroverts) how to interact better with your introverted friends. Will include humor, handouts, research, and RIBBONS!  Speakers include:Alexa Albright-Kelley, Carol Thomas - Track: Life  - Duration: 50 minutes - Audio/video needs: Projector ","Nicolet",PUBLIC
