Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Overworld",05/05/2019,10:00,05/05/2019,11:00,TRUE,"BG 2 to 4 players; Play with a published edition of the strategy game playtested at Penguicon so many times before. Discover dungeon entrances by exploring pixel-art forests, mountains, reefs, and whirlpools. Lay L-shaped tiles and claim them with your ships and your rideable flightless birds. Dungeon doors are placed into the spaces where no tile could ever fit. The player whose three dungeon doors are farthest apart has discovered the largest dungeon, and is famed as the greatest explorer.  Speakers include:Matthew Arnold - Track: Gaming  - Duration: 1 hour ","Gaming (TC's Room)",PUBLIC
"Unpublished Prototype: GaiaVora",05/03/2019,15:00,05/03/2019,16:00,TRUE,"BG; Players fill the rotating cardboard planet of Gaia with verdant life. Arrange your carnivores, herbivores, and plants, so you can eat your opponents, under the light of Vora, the moon. Survive on the highest stacks of land tiles, when the final meteor strikes!  Speakers include:Matthew Arnold - Track: Gaming  - Duration: 1 hour ","Gaming (TC's Room)",PUBLIC
