Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"The GRAM Role-Playing Game: Introductory Demo",5/3/2019,19:00,5/3/2019,20:00,FALSE,"RPG; Join us for a demonstration of the GRAM role playing game led by one of the game designers.  Speakers include:Cyndi Chadwick - Track: Gaming  - Duration: 1 hour ","Gaming (TC's Room)",PUBLIC
"The GRAM Role-Playing Game: Introductory Demo",5/4/2019,12:00,5/4/2019,13:00,FALSE,"RPG; Join us for a demonstration of the GRAM role playing game led by one of the game designers.  Speakers include:Cyndi Chadwick - Track: Gaming  - Duration: 1 hour ","Gaming (TC's Room)",PUBLIC
"Navigating Polyamory: Keeping your Cups Full",5/4/2019,13:00,5/4/2019,14:00,FALSE,"Join us for a presentation and Q&A about one million different ways to practice poly. Come learn how to better communicate and work through hiccups, such as scheduling conflicts, new partners, sexual safety, and mental/emotional health.  Speakers include:Andrew M. &quot;Fish&quot; Popowich, Becky Hill, Cyndi Chadwick - Track: Life  - Duration: 1 hour ","Charlevoix A",PUBLIC
"The GRAM Role-Playing Game: Introductory Demo",5/4/2019,17:00,5/4/2019,18:00,FALSE,"RPG: Join us for a demonstration of the GRAM role playing game led by one of the game designers.  Speakers include:Cyndi Chadwick - Track: Gaming  - Duration: 1 hour ","Gaming (TC's Room)",PUBLIC
