Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Hamilton the Musical Sing-A-Long",4/30/2016,19:00,4/30/2016,19:50,FALSE,"Discussion between fans of Hamilton the musical, those who've been to see it, those who want to see it, and those who just love the cast album.  Geek about history and sing along to some of the songs!  Speakers include:Jen Talley - Track: Media  - Duration: 50 minutes ","Portage",PUBLIC
"Geek Girls Are Here to Stay",4/30/2016,20:00,4/30/2016,20:50,FALSE,"Every few years it seems there's a rash of discussion, usually shocked, that women create and consume all the things long considered the domain of men: science, technology, science fiction, comics, games and more.  But women have always been there, from the earliest Worldcons to the Save Star Trek campaign, from fan fiction and fanvids, from Ada Lovelace to Shirley Ann Jackson, from Frankenstein to our awesome slate of Guests of Honor.  Will we be stuck having this conversation forever?  Speakers include:Tanya DePass, Ann Lemay, Jen Talley, Lingjia Tang - Track: Media  - Duration: 50 minutes ","Charlevoix C",PUBLIC
"Raising Kind and Conscious Kids",5/1/2016,12:00,5/1/2016,12:50,FALSE,"With so many influences in our kids' lives, how to we give them the tools to make kind and conscious decisions both for themselves and in how they treat and interact with others?  How do we help them to understand and navigate the subtle pressures of the media, their peers, other adults?  How do we help them understand that intent isn't magic, and fair does not always mean equitable?  Speakers include:Elizabeth 'Biz' Nidjam, Jen Talley, Ruth Suehle - Track: Life  - Duration: 50 minutes ","Montcalm",PUBLIC
