Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Linux Command Line Tools",5/4/2019,19:00,5/4/2019,20:00,FALSE,"The presenter is in the midst of writing the 4'th edition of Packt Press's 'Linux Command Line Cookbook.' Come learn about a collection of things you can do from the command line ranging from trivial shell scripting to setting up a VPN.  Speakers include:Clif Flynt - Track: Tech  - Duration: 1 hour ","Nicolet",PUBLIC
"Psycho-Linguistics for Writers",5/4/2019,20:00,5/4/2019,21:00,FALSE,"The words we use say a lot about us that we don't intend. Subtle things like the ratio of 'I/me' to 'you/they' tell you whether a speaker is a narcissist or a minion. Psycho-linguists use these tools to evaluate patients. Writers can use the same tools to create realistic, believable dialog and make their characters more vivid.  Speakers include:Clif Flynt - Track: Lit  - Duration: 1 hour ","EMC II",PUBLIC
"Why Techie Nerds Should Write Books",5/5/2019,10:00,5/5/2019,11:00,FALSE,"Writing a book is a positive step in professional development. It establishes you as 'an expert,' it answers the 'communication skills' question on job applications, and can be the springboard to independence.  Speakers include:Clif Flynt, Michael W. Lucas - Track: Tech  - Duration: 1 hour ","EMC III",PUBLIC
"E-learning Design: The Good, The Bad and the Very, Very Ugly",5/5/2019,11:00,5/5/2019,12:00,FALSE,"E-learning is more than just a webpage. Today's e-learning can be smart, engaging and interactive, but it can also be done very, very badly. We'll discuss the good, the bad, and the ugly of modern e-learning design.  Speakers include:Clif Flynt, Ericka Kahler - Track: Tech  - Duration: 1 hour ","Charlevoix B",PUBLIC
"Reading: Jean Davis and Clif Flynt",5/5/2019,13:00,5/5/2019,14:00,FALSE,"The authors read from their works.  Speakers include:Clif Flynt, Jean Davis - Track: Lit  - Duration: 1 hour ","Writer's Block Author Readings [306]",PUBLIC
