Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"DJ Set: Walk in Circles ",4/25/2015,0:00,4/25/2015,1:50,FALSE,"Armed with a crate full of records, Walk in Circles is gonna make it sound like a 2000s UK rave up in this joint.  Speakers include:Walk in Circles - Track: Music  - Duration: 1 hour and 50 minutes - Audio/video needs: Sound System ","Charlevoix A",PUBLIC
"Surviving As an Independent Musician",4/24/2015,17:00,4/24/2015,17:50,FALSE,"It's hard out there on the streets. Are you a musician trying to get noticed? Or a fan wondering how musicians keep up with work/school/life while still having time and energy for creativity? Come snag some advice from some of the hardest working folks in the area.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B, StarF, MPFM, 2d6 - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Vinyl Mixing 101",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Drop in with the #teamswoop crew and get a rundown on basic vinyl mixing. Get a feel for concepts like beatmatching and counting phrases, and hey they might even give you your very own DJ name!  Speakers include:DJ Seanni B, Walk in Circles - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"DJ Set: Walk in Circles ",4/25/2015,0:00,4/25/2015,1:50,FALSE,"Armed with a crate full of records, Walk in Circles is gonna make it sound like a 2000s UK rave up in this joint.  Speakers include:Walk in Circles - Track: Music  - Duration: 1 hour and 50 minutes - Audio/video needs: Sound System ","Charlevoix A",PUBLIC
"Chip Rave w/ #teamswoop",4/26/2015,1:00,4/26/2015,2:50,FALSE,"Join #teamswoop for some chiptunes awesomeness!  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B - Track: Music  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
"Chip Rave w/ #teamswoop",4/26/2015,1:00,4/26/2015,2:50,FALSE,"Join #teamswoop for some chiptunes awesomeness!  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B - Track: Music  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector ","Algonquin B",PUBLIC
"#teamswoop Q&A",4/26/2015,14:00,4/26/2015,14:50,FALSE,"Who is #teamswoop? What is #teamswoop? Swoop isn't just fun to say. Swoop is a lifestyle. Embrace the swoop. Confused? Come ask questions.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"#teamswoop Q&A",4/26/2015,14:00,4/26/2015,14:50,FALSE,"Who is #teamswoop? What is #teamswoop? Swoop isn't just fun to say. Swoop is a lifestyle. Embrace the swoop. Confused? Come ask questions.  Speakers include:Barbeque, Snesei, Walk in Circles, DJ Seanni B - Track: Music  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
