Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Addition errata The Dark Web Big Three: TOR, I2P, Freenet","5/3/2019","19:00","5/3/2019","21:00","FALSE","Get an introduction to the big three in censorship resistant communications, TOR, I2P and Freenet. &nbsp;Peel back how they work and some options on using them.  Speakers include:Pat Baker - Track: Tech  - Duration: 2 hours ","Montcalm",PUBLIC
"Addition errata Qubes OS - "A reasonably Secure Operating System'","5/4/2019","18:00","5/4/2019","19:00","FALSE","A security-focused desktop operating system that aims to provide security through isolation. Virtualization is performed by Xen, and user environments based on Fedora, Debian, and Whonix operating systems. &nbsp;My six-month dive into using it exclusively.  Speakers include:Pat Baker - Track: Tech  - Duration: 1 hour ","Montcalm",PUBLIC
