Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Self-Publishing 101",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Explore the pros and  cons of self-publishing in the digital age.  Is there still a stigma associated with being self-published? The panel will discuss the many different sites that offer self-publishing, e-books, marketing your books, and being in control of your book.  Speakers include:Tracy Herrell, Michael W. Lucas","Board of Governors",PUBLIC
"Open Readings",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Join us and read from your book or a favorite book!  Please sign up at Ops.  Speakers include:","Hamlin",PUBLIC
"Checking Out an E-book: How and Why",5/3/2014,9:00,5/3/2014,9:50,FALSE,"How to find and download e-books from the library.  Learn how the library acquires and catalogs books from a librarian.  Find out why there are not infinite digital copies and why there is a waitlist for newly released titles.  Speakers include:Janea Schimmel","Nicolet",PUBLIC
"Creepy Fun, But Would You Read It?",5/3/2014,21:00,5/3/2014,21:50,FALSE,"There is a lot of “reality” programming which deals with speculative fiction adjacent material, like paranormal research, monster hunting, and cryptozoology.  There is a market for people to watch these shows, but is there a readership?  Have you read any books on this topic which you would recommend?   Speakers include:Shetan Noir","Board of Governors",PUBLIC
"Q & A With the Lit GOH: Fanboys, Ready Player One, and More",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Sit down with our Literature Guest of Honor, Ernie Cline, and discuss writing, his works including Ready Player One, and whatever else comes up.  Speakers include:Ernie Cline","Windover",PUBLIC
"Do Angry Fans Ruin It?",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Was Mass Effect 3 improved by the outrage of gamers? Do TV shows like Community or Top Gear need angry feedback, or are we encouraging authors, artists and designers to be less creative to avoid fan ire?  Is sequel-itis all our fault?  Speakers include:StarF, Val Hundreds, Moses Jackson, James Fernandez, BluRaven C. Houvener","Board of Governors",PUBLIC
"Indeterminacy as a Compositional Tool: Tarot Cards and Writing",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Artists, at least since the surrealists, have employed various techniques to introduce a bit of 'chance' into the production of art pieces. One such technique is tarot cards. Aside from any possible use as a divination process, tarot cards are narratively-primed, image-rich, easily-shuffled tidbits ready to add creativity to processes such as writing. Presenter James Frederick Leach has played with 'The Cards' as a tool for plotting, character development and whittling away at writer's block. This presentation will feature workshop components so bring your portable composition tool of choice.  Speakers include:Jim Leach","Board of Governors",PUBLIC
"Author Readings",5/4/2014,14:00,5/4/2014,15:50,FALSE,"Readings by Literature Track Guests and Panelists  Speakers include:Ken MacGreggor, Mary Lynne Gibbs, Nicole Castle, John Scalzi, Sean Davis","Windover",PUBLIC
"Guns for Writers - What Writers Should Know About Firearms For Their Work",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Come talk about guns with a firearms instructor and writer. The panel will briefly discuss the history of firearms with a focus on modern and near future tech. Learn more about how guns work, how to write convincing scenes with firearms, and how knowing more about guns can help both your world building and character development. NOTE: This is NOT the 'Geeks with Guns' event.   Speakers include:Rob Reed","Algonquin D",PUBLIC
"Hunting For Fiction: How to Find What You Want To Read",5/4/2014,9:00,5/4/2014,9:50,FALSE,"A look at how people find books to read when brick and mortar bookstores are becoming scarce and libraries may or may not stock the genre fiction you are interested in.  Will cover blogs, Goodreads, and more.  Speakers include:Janea Schimmel","Board of Governors",PUBLIC
