Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Ubuntu: Latest Updates",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Jorge is employed by Canonical and will present on the latest developments from this popular Linux distro. Focus will be on recetnly released 14.04.  Speakers include:Jorge Castro","Board of Governors",PUBLIC
"Using vi for Simple Text Editing",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Tired of suspender wearing, bearded Unix system admins kicking sand in your face? Tired of IDEs and word processors dragging your system to its knees?  Come to this quick tutorial for vi, the light weight, efficient text editor that is available on nearly every system and never suffer from tool bloat or bearded, suspender wearing bullies again. Laptop with vi installed required (Mac and Linux computers have this by default).  Speakers include:Clay Dowling","Charlevoix C",PUBLIC
"Fun with High-Voltage Toys",5/3/2014,12:00,5/3/2014,12:50,FALSE,"Learn how arcane objects like dekatrons, vacuum tubes, and nixies can make fun toys!  Speakers include:Keith Moore","Hamlin",PUBLIC
"Civic Technology",5/3/2014,12:00,5/3/2014,12:50,FALSE,"From SMS-based blogging platforms, to visualization of large-scale public data, to Android tablets for prison inmates reconnecting with society, the way we interact with each other, our communities, and our governments is changing.  This panel will present some exciting examples and speculate on future possibilities.  Speakers include:Ed Platt, Shaka Sengho","Montcalm",PUBLIC
"A Special Reading by Cory Doctorow",5/3/2014,12:00,5/3/2014,12:50,FALSE,"A sneak peek at an untitled, in-progress novel for adults, that is something of a prequel to Down and Out in the Magic Kingdom, in the vein of Makers. You'll be the first people apart from Cory himself to come into contact with this material!  Speakers include:Cory Doctorow","Windover",PUBLIC
"Linux Dorking: Exploring the Basics of Linux From the Eyes of an Attacker",5/3/2014,13:00,5/3/2014,13:50,FALSE,"Breaking in is only half the battle. Once you're in, you still have to make sure you don’t lose your access. This talk will walk through basic system administration functions culminating in a Remote Access Trojan created completely from sysadmin tools. Some Linux experience needed. If breaking in is half the battle, staying in wins the war.  Speakers include:Mark Kikta","Charlevoix C",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,14:00,5/3/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"What is the EFF?",5/3/2014,15:00,5/3/2014,15:50,FALSE,"With revelations coming out on a daily basis, it's obvious that our privacy is both critically important and under attack. Come learn about an organization that is defending our rights every day.   Speakers include:Eva Galperin, Cory Doctorow","Algonquin D",PUBLIC
"Distributed Robotics with Raspberry Pi, Arduino and Zetta.js",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Matt Dobson, Adam Magaluk and Kevin Swiber, engineers at Apigee in Downtown Detroit, will demonstrate a geographically distributed system of robots, sensors and actuators. They will share hardware tips, APIs and code from their new open source JavaScript platform called Zetta.js. You will see robot parlor tricks, a man with green(ish) hair and a variety of devices connected with Arduino, Bluetooth, Raspberry Pi, Node.js and Hypermedia APIs. It will be a veritable Internet of Things.  Speakers include:Matt Dobson, Adam Magaluk, Kevin Swiber","Charlevoix C",PUBLIC
"Teaching Free Software to Homeschoolers",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Emily is a GNOME member and developer, as well as a mother with an interest in teaching her kids. Come learn from her experience in teaching free software.  Speakers include:Emily Gonyer","Montcalm",PUBLIC
"GPG Encryption",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Come learn GPG Encryption with Tony, host of Sunday Morning Linux Review, and active promoter of GPG Encryption, and Kevin O'Brien, frequent contributor to Hacker Public Radio.  Speakers include:Tony Bemus, Kevin O'Brien","Nicolet",PUBLIC
"Two-Factor Authentication: A Primer",5/3/2014,16:00,5/3/2014,16:50,FALSE,"Let Mark, a security professional, teach you how you can use two-factor authentication to improve your security and prevent the bad guys from stealing your online accounts.  Speakers include:Mark Stanislav","Montcalm",PUBLIC
"Build Your Own Steambox",5/3/2014,16:00,5/3/2014,16:50,FALSE,"Jorge will show how you an use the open source SteamOS software to build your own Steambox console for playing games on Valve's Steam.  Speakers include:Jorge Castro","Nicolet",PUBLIC
"CryptoParty: Penguicon Edition",5/3/2014,17:00,5/3/2014,19:50,FALSE,"Everyday encryption for the general public. Learn to protect your hard drive's data, browse the web anonymously, encrypt your email, and more in this hands-on workshop. Absolute beginners are welcome; we will have volunteers on hand to provide you with software and help you learn to use it. Bring your laptop along to get the most from hands-on activities in this session.  Speakers include:Susan Sons, Chris Nehren, Jeremy Banks, Eric S. Raymond, Paul Berens, Adam Nuwer, Andrew Kelley, John D. Bell","Nicolet",PUBLIC
"The NSA is Watching You: The Government, Surveillance, and You",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Now that Edward Snowden has made you aware that the government is watching and recording your every move, come join our GoH Eva Galperin and Featured Guests Cory Doctorow and Nick Farr as they discuss of the implications of living in a surveillance state.   Speakers include:Eva Galperin, Cory Doctorow, Nick Farr","Algonquin D",PUBLIC
"SSH Key Authentication: You Know You Should Be Doing It",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Secure Shell (SSH) servers are popular targets for password-guessing attacks. The only way to eliminate these attacks is to use key-based authentication. If you're still using password-based authentication because key-based authentication seems hard, come to this talk. Bring your laptop. You'll create your own authentication key, deploy it to your server, and make key-based authentication painless. When you go back to work after Penguicon, you'll wonder how you ever survived using passwords.  Speakers include:Michael W. Lucas","Charlevoix C",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"3D Printing and Linux",5/3/2014,19:00,5/3/2014,19:50,FALSE,"3D Printing is a big thing with the maker movement, and Tom shows how you can do this with free software. Tom is a Red Hat employee and member of the Fedora project.  Speakers include:Tom Callaway","Algonquin D",PUBLIC
"Women in Tech Meetup",5/3/2014,19:00,5/3/2014,19:50,FALSE,"Meet other women working or hoping to work in technology, swap stories of what it's like working in a male-dominated field, and share strategies for success.  Speakers include:Julie Hargraves, Erika Carlson","Bar",PUBLIC
"Bitcoin, Dogecoin, and Cryptocurrencies… What’s the Big Deal?",5/3/2014,19:00,5/3/2014,19:50,FALSE,"What's a cryptocurrency and why do we need it? What is Bitcoin mining? Why is Bitcoin so volatile? What is this scary new money and why is it important in our ever-changing world?  Speakers include:YTCracker, Nick Farr","Windover",PUBLIC
"Raspberry Pi Hacks",5/3/2014,20:00,5/3/2014,20:50,FALSE,"ife with the Raspberry Pi. Learn how to choose the best distro for the job you intend to do, and advance to building a custom kernel. You'll learn how to add a power switch and check your power problems. See what we and others have made, from light displays and using the Pi as an FM radio to a Star Wars project so good, it scored the creator an upgrade from girlfriend to wife. You'll see Lego TARDIS, Pi-powered Pipboy, and aliens, so come ready to geek out, both Pi and otherwise.  Speakers include:Ruth Suehle, Tom Callaway","Algonquin D",PUBLIC
"Ubuntu Release Party",5/3/2014,20:00,5/3/2014,21:50,FALSE,"Come celebrate the release of version 14.04 of this highly popular Linux distribution - meet us in the bar!  Speakers include:Craig Maloney","Bar",PUBLIC
"Data Visualization with d3.js",5/3/2014,20:00,5/3/2014,20:50,FALSE,"See examples of interactive data visualizations built with d3.js and learn how to make your own.  Speakers include:Ed Platt","Charlevoix C",PUBLIC
"Inside Game Face Labs",5/3/2014,20:00,5/3/2014,20:50,FALSE,"Join Ed Mason, CEO of Game Face Labs, as he gives you a behind the scenes look at making virtual reality come to life.   Speakers include:Ed Mason","Montcalm",PUBLIC
"BoF: Gadgets and Cool Tech ",5/3/2014,23:00,5/3/2014,23:50,FALSE,"Which cool tech do you want to talk about?  What are the best technology gadgets you have seen?  What do you want to see in the near future?  Why do you like your gadget?  Speakers include:","Board of Regents",PUBLIC
"All About Audiobooks",5/3/2014,9:00,5/3/2014,9:50,FALSE,"We all spend a great deal of time driving or otherwise working on projects that prevent us from reading as much as we'd like. Many have found audiobooks to be a great way to take advantage of otherwise lost time. Learn the current (and historic) technology.  Speakers include:Bill Kolasa","Montcalm",PUBLIC
"ITIL: Best Practices Overview",5/4/2014,10:00,5/4/2014,10:50,FALSE,"IT Infrastructure Library (ITIL®) is a set of best practices that has been used globally for over 15 years to help IT organizations work in harmony with the business. ITIL® provides guidelines for an IT organization to become the most efficient and effective it can be. Come learn how valuable ITIL® certification can be for IT professionals and their organizations.  Speakers include:Melissa Wren","Nicolet",PUBLIC
"The Future of Virtual Reality",5/4/2014,10:00,5/4/2014,10:50,FALSE,"With the Oculus Rift being bought by media giant Facebook, the cautionary tales of science fiction seem closer than ever to reality.  Join authors Ernie Cline and John Scalzi, and Android VR creator Gameface Labs, as they talk about where our communal virtual fantasy is headed.  Speakers include:Ernie Cline, Ed Mason, John Scalzi","Windover",PUBLIC
