"Paint and Take",5/2/2014,16:00,5/2/2014,22:00,FALSE,"Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).  Speakers include:Dean Martelle, Linda Martelle","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Let's Juggle!",5/3/2014,12:00,5/3/2014,12:50,FALSE,"General meetup for people who want to juggle together. Bring your own, or juggle whatever we have on hand!  Speakers include:Jody Raiford","Lobby",PUBLIC
"Paint and Take",5/3/2014,13:00,5/3/2014,17:00,FALSE,"Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).  Speakers include:Dean Martelle, Linda Martelle","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,14:00,5/3/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
"Paint and Take",5/4/2014,13:00,5/4/2014,16:00,FALSE,"Enjoy a fun and relaxing session of painting miniature figures, even if you don't think of yourself as an artist. We are happy to demonstrate several painting techniques, including drybrushing, washes, and face elements, including the always tricky eyes. Some free figures available (one per person per day).  Speakers include:Dean Martelle, Linda Martelle","Lobby",PUBLIC
"Virtual Reality Headset Demo with Game Face Labs ",5/4/2014,14:00,5/4/2014,14:50,FALSE,"Come try Game Face Labs' 3D printed, Android based, wireless virtual reality headset. You know you want to!  Speakers include:Ed Mason","Lobby",PUBLIC
