event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,checkins,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"293","Y","Learning Management Systems, Educational App Stores, Repositories, and Analytics","2019-05-04 15:00:00","2019-05-04 16:00:00","Tech","","The idea of a next generation digital learning environment” (NGDLE) is now several years old and the Apereo open source communities are adopting this new model across the board. Apereo is showing the path to the NGDLE by moving from a single LMS product (Sakai) to a situation where educational needs can be met from any number of open source projects like Tsugi, Equella, Open Learning Warehouse, Xerte, and others. Much like Sakai’s “interoperability first” approach in 2004 radically changed the educational technology marketplace, Apereo’s NGDLE efforts in 2018 are laying the groundwork that will dramatically transform the educational technology market for the next decade.","","","","","0","9","0","N","Charlevoix B","","","","","","","","","","","","09044f7b803c3935ad1493cab272ebc3","931344","Charles Severance","","","","",""
"156","Y","Navigating Polyamory: Keeping your Cups Full","2019-05-04 13:00:00","2019-05-04 14:00:00","Life","","Join us for a presentation and Q&A about one million different ways to practice poly. Come learn how to better communicate and work through hiccups, such as scheduling conflicts, new partners, sexual safety, and mental/emotional health.","","","","","0","25","0","N","Charlevoix A","","","","","","","","","","","","09860b5ae0e9dfacfb7e1ab36dfe8c1a","931323","Andrew M. &quot;Fish&quot; Popowich, Becky Hill, Cyndi Chadwick","","","","",""
"116","Y","Consuite Chaos: A Cthulhu LARP","2019-05-03 20:00:00","2019-05-04 00:00:00","Gaming","","Welcome to Unicon! Your favorite nerd-stravaganza is hosted this year at the newly-renovated historic River Grand Hotel. It's midnight in the Consuite, but that doesn't mean it's quiet. The caffeine is flowing, the snacks are plentiful, and everyone is having a great time, until THINGS begin to happen... Terror and Tentacles presents a horrorful live action game guaranteed to stun the senses. No experience necessary.","","","","","0","7","0","N","Algonquin A","","","","","","","","","","","","0a72147625fa3975b6597ecebea567a1","931341","Conor Esselink, Gnora Ford-Lepthien, Laura Cascos, Beth Bondono, Owen Bondono, Erika Wagner","","","","",""
"339","Y","Protecting The Digital You","2019-05-04 17:00:00","2019-05-04 18:00:00","Tech","","A primer on the digital footprints you leave online and how to protect yourself.","","","","","0","13","0","N","Algonquin B","","","","","","","","","","","","0b29920a75151e2de3545b8ecdd501fc","931395","Tom Lawrence","","","","",""
"354","Y","Poetry with Pitch! A Penguicon Choral Workshop","2019-05-04 10:00:00","2019-05-04 11:00:00","Life","","Choral music, at its best, is poetry with pitch. Singing links the emotion of music with the power of words. In this interactive session, we will learn Vienna Teng's 'Hymn of Axciom,' a poignant tune about digital surveillance, in four-part harmony. Contrary to popular opinion, singing is a learned skill, not just an innate talent. Ashley will share tips and techniques to use your voice and make meaningful music, lessons learned from fifteen years in adult, auditioned choirs. Ability to read music is helpful but not necessary. Listeners are also welcome!","","","","","0","14","0","N","Portage Auditorium","","","","","","","","","","","","0bb0bab7a6d152be5e0b7505da296391","931320","Ashley Lesser","","","","",""
"124","Y","Tyrants of the Underdark","2019-05-04 11:00:00","2019-05-04 12:00:00","Gaming","","BG 2-4 players; Each player leads a house of Drow in a section of the Underdark below the Sword Coast. The Drow house is represented by a deck of cards, with each card being a minion in that player's deck. Each minion belongs to one of five aspects of Drow society, and those aspects correspond to different strategies in the game, e.g., malice minions excel at assassinating opponents' troops, while ambition minions are best at recruiting additional minions and promoting minions to your 'inner circle', which is a special zone that increases their value at the end of the game.","","","","","0","0","0","N","Gaming (TC's Room)","","","","","","","","","","","","0be0365acbac894f34f3c099298f10ad","931386","Jason Miller","","","","",""
"129","Y","DemonLobster Presents 8 Player Super Smash Brothers Ultimate","2019-05-05 10:00:00","2019-05-05 11:00:00","Gaming","","Take a load off on a lazy Sunday morning with some donuts, some coffee, and some Smash! It's all for fun here! All matches will be pure casual fun, with time rules and items on. Drop in for a single round or stay for the whole session. Just swing by and have some smashing fun!","","","","","0","4","0","N","EMC II","","","","","","","","","","","","0c5891c67b0df7cf7030ae672401935f","931368","Jonathon Hickey","","","","",""
"193","Y","The Opening Chapter","2019-05-05 12:00:00","2019-05-05 13:00:00","Lit","","The beginning of your novel is crucial. Its job is to hook the reader and create expectations for the rest of the story. On submission, industry professionals use your opening pages to judge your writing style and the book's potential. So how do you choose where to start? We'll discuss how to create interesting conflict and introduce characters your readers will follow through the story.","","","","","0","8","0","N","EMC IV","","","","","","","","","","","","0d1d4dbe29b0edfbf84cedf3e99fe15d","931359","Christine Daigle, Claire Winn","","","","",""
"337","Y","PAC: Adventures in 3D Printing","2019-05-04 19:00:00","2019-05-04 20:00:00","Tech","","3D printing has been around for a while but cheap 3D printing for hobbyists has exploded in the past five years. We will explore novel applications cheap fff/fdm 3D printing.","","","","","0","5","0","N","EMC IV","","","","","","","","","","","","0d7333a315ed8341df31be50324d156b","931359","ted preston","","","","",""
"264","Y","Wireless Audio in the Concert World","2019-05-04 14:00:00","2019-05-04 15:00:00","Media","","Come learn about wireless microphones and related tech in the professional concert world, from some quick basics to coordinating frequencies over a multiple venue festival.","","","","","0","3","0","N","EMC II","","","","","","","","","","","","0e79d305627e14d4c385cfecc86c467e","931368","Scott Helmke","","","","",""
"221","Y","Improving your Writing","2019-05-04 13:00:00","2019-05-04 14:00:00","Lit","","Writing is one of the hardest crafts to learn, and measuring improvement is nearly impossible. How do you improve your writing? What methods have worked for us, and which failed miserably? How did our panelists achieve success? If we can improve, so can you.","","","","","0","6","0","N","Baldwin","","","","","","","","","","","","0f719603035799dcdf56f9e6fe0b5649","931389","Vik K. Walker, Michael W. Lucas, Colleen Nye","","","","",""
"106","Y","Fellowship of Fools: Friendship Edition","2019-05-03 20:00:00","2019-05-03 21:00:00","Gaming","","Fellowship of Fools (FoF) is a game about relationships. Making friends takes time, communication and honesty. For many, making friends and forging new connections can be difficult or even feel impossible. FoF is a game that gives you an opportunity to get to know people through conversation, vulnerability and finding common ground.","","","","","0","6","0","N","EMC IV","","","","","","","","","","","","10817909e5339db0e6a1d797641183a9","931359","Casey O'Donnell, Hermione Banger","","","","",""
"261","Y","The Weird World Of Night Vale Presents","2019-05-03 17:00:00","2019-05-03 18:00:00","Media","","Nightvale Presents produces some of the most innovative speculative fiction podcast content available. With shows like Welcome to Night Vale, Alice Isn't Dead, Adventures in New America, and Within The Wires, its stable of shows are delightful dark, weird, incredibly queer, and extremely diverse. We'll discuss some of our favorite shows from Night Vale Presents, explore what sets them apart from more traditional SFF media, and discuss how they could serve as a model for a more inclusive SFF world.","","","","","0","14","0","N","Portage Auditorium","","","","","","","","","","","","111a2fd85d1d99330521d6d3f6d94258","931320","Mari Brighe, Charlotte Wolf","","","","",""
"356","Y","Penguicon Board of Directors Meeting","2019-05-05 11:00:00","2019-05-05 12:00:00","Penguicon","","Each year of Penguicon is run by a Convention Committee, selected by the ConChair. The Penguicon Board is the group that selects each year's ConChair and approves their budget. The Board also handles any decision which would be binding on a future ConChair who is selected yet. The quarterly Board Meetings are open to the public, but we also have one during Penguicon so you can ask your questions about Penguicons of the future, ure, ure, ure!","","","","","0","4","0","N","EMC V","","","","","","","","","","","","11e0dc88d11464bec260b39735bd21c1","931353","James Hice, Matt Arnold, Chelle Silas, Randy Bradakis, Amanda Long-Adams","","","","",""
"21","Y","Floggers 201","2019-05-04 21:00:00","2019-05-04 22:00:00","After Dark","","Take your flogging skills to the next level with Willie Pa. Learn some more advanced techniques. There will also be demonstration. This event is 18+.","","","","","0","9","0","N","Charlevoix A","","","","","","","","","","","","128a6d6bb61cfffa27243a0060f020df","931323","WilliePA","","","","",""
"305","Y","Writing An Open Source Paypal Portal For Convention Reg","2019-05-05 13:00:00","2019-05-05 14:00:00","Tech","","We would like to eliminate the need for ticketing services such as Eventbrite for online registration. Possibly Penguicon could host this software for other events as part of our mission to support the community. Join us to plan our future hackathons for writing this software. We will present the prototype.","","","","","0","3","0","N","Computer Lab [Charlevoix C]","","","","","","","","","","","","13b873921a2337e01cfa36d094226d10","931398","Matt Arnold, Drew Lanagan","","","","",""
"378","Y","Reading: Mary Lynne Gibbs","2019-05-04 14:00:00","2019-05-04 15:00:00","Lit","","The authors read from their works.","","","","","0","0","0","N","Author Readings Room","","","","","","","","","","","","141694f7a0a20aa2b591a21657fe9e9a","935098","Mary Lynne Gibbs","","","","",""
"177","Y","I Started a Makerspace: AMA","2019-05-03 17:00:00","2019-05-03 18:00:00","Life","","After being heavily involved in the makerspace scene in metro Detroit, Karen moved to Wisconsin where she saw a need for a similar community to be created in her neighborhood. She’ll share stories about the process with plenty of time for you to pose questions on anything makerspace related!","","","","","0","11","0","N","Nicolet","","","","","","","","","","","","14cbadd849882a0d13c63aee59b9ae76","931329","Karen Corbeill","","","","",""
"145","Y","Mystic Vale","2019-05-03 16:00:00","2019-05-03 17:00:00","Gaming","","BG 2-4 players; This game features an innovative 'card crafting system,' which lets you not only build your deck, but build the individual cards in your deck, customizing each card's abilities to exactly the strategy you want to follow.","","","","","0","2","0","N","Gaming (TC's Room)","","","","","","","","","","","","159fdefcebef2bf216713f88d0bc436a","931386","The Wandering Meeple","","","","",""
"103","Y","How to Kill your Players: GMing 101","2019-05-05 12:00:00","2019-05-05 14:00:00","Gaming","","One of a series of three panels on RPGs. Ever wonder how some players can speak of the death of a beloved character with adoration and whimsy in their eyes at they tell the story? Need some tips on how to up your GM game? Well, stop on by and let Sarge give you some pointers on how to set up exciting situations, how to treat your players so they accept the eventual TPK, and even better, how to leave them telling stories about your games for ages.","","","","","0","11","0","N","EMC V","","","","","","","","","","","","15e41c00fb288203cf7e31b8de2fc778","931353","Byron Pepper","","","","",""
"166","Y","Makeup 101","2019-05-05 09:00:00","2019-05-05 10:00:00","Life","","New to makeup? Learn how to apply and blend, the best tools to use, and even color swatching.","","","","","0","12","0","N","Montcalm","","","","","","","","","","","","166f96ce7dd89619679a2d98b1477deb","931326","Frannie","","","","",""
"245","Y","Penguicon Photo Booth","2019-05-03 16:00:00","2019-05-05 16:00:00","Mayhem","","Say cheese! Grab a prop and take some pics!","","","","","0","9","0","N","Lobby","","","","","","","","","","","","169184abc65135cb6dcc700dee253449","931404","","","","","",""
