name,Find Waldo
Private,PUBLIC
venue,Concourse
Book Description,"Where's Waldo? He's somewhere amidst the rest of the hordes of awesome Penguicon attendees. Search every dark corner, every broad gallery, any other place he can be seen in plain sight. Please, don't search occupied bathroom stalls. We get in trouble for that sort of thing. If you find him, you'll be rewarded with a special ribbon."
Presenters,Waldo
starttime,17:00
Start Date,4/26/13
minutes,00
allday,TRUE
event_type,Mayhem
All Day Event,TRUE
event_end,14:00
endday,4/28/13
private,PUBLIC
endtimeampm,2 PM
Location,Concourse
duration,45 hours
description,"Whether you are a fan of World of Warcraft or a fan of scavenger hunts or a fan of random quests, you will enjoy the nuances of this cherished challenge. Get your pally butt out of the Con Suite and go on an adventure!"
index,21
speakers,Open
Track,Mayhem
startday,4/26/13
Title,WoW Questing Game
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,14:00
tracknosp,Mayhem
input,"['4/26/13', '17:00', '4/28/13', '14:00', 'Concourse', 'Mayhem', 'WoW Questing Game', 'Open', 'Whether you are a fan of World of Warcraft or a fan of scavenger hunts or a fan of random quests, you will enjoy the nuances of this cherished challenge. Get your pally butt out of the Con Suite and go on an adventure!', 'TRUE', 'PUBLIC']"
End Date,4/28/13
calspeakers,Open
speakerlist,['Open']
hours,45
totalminutes,2700
caldescrip,"Whether you are a fan of World of Warcraft or a fan of scavenger hunts or a fan of random quests, you will enjoy the nuances of this cherished challenge. Get your pally butt out of the Con Suite and go on an adventure!"
endtime,14:00
name,WoW Questing Game
Private,PUBLIC
venue,Concourse
Book Description,"Whether you are a fan of World of Warcraft or a fan of scavenger hunts or a fan of random quests, you will enjoy the nuances of this cherished challenge. Get your pally butt out of the Con Suite and go on an adventure!"
Presenters,Open
starttime,17:00
Start Date,4/26/13
minutes,00
allday,FALSE
event_type,Life and (un)Death
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Boardroom
duration,50 minutes
description,The logic of kittehs is abound with mystery and a marked lack of actual logic. Right? No! Kittehs have their own strain of logic they follow which lead them to the sometimes profoundly odd things they do.  The Tao of Kitteh is a primer to learn those on the thinking and actions of kittehs.
index,1
speakers,Caitlynn Poirier
Track,Life and (un)Death
startday,4/26/13
Title,The Tao of Kitteh
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,LifeandunDeath
